category,category_emoji,topic,topic_emoji,message
Registration,✅,Students are having trouble registering,🦐,"Thanks for reaching out, we’d be glad to help! It’s quite simple: Go to @reshuffle.education on Instagram, enter the page’s DM (direct messaging) and type hi. You’ll get further instructions from there. Good luck and have fun! "
,,Students type the password wrong/get stuck ,,"Something's stuck! Type ""joinreshuffle"" again (and make sure you don't have any typos) to complete your registration."
,,Students stop registering mid-way.,,"We see you haven't finished registering yet, please give us a few more details so you can start your quest!"
,,Students ask why we haven’t accepted their follow request yet. ,,"We’re glad to see that you’re eager to start the quest! Each follow request from a student requires us to verify it, which might take some time. We promise we’ll approve your request as soon as we can so you can start ReShuffling. "
,,,,"Hey everyone! Just reminding you guys to share your tasks here on the Discord channel. Really looking forward to seeing your ___ task!
Feel free to contact us with any questions."
,,Reminder to submit tasks ,,"Hey everyone, kudos to those who submitted tasks #1 and #2 and shared them! 🏆 
For those who haven't yet, it's not too late. ⏰ 
We’re waiting to see tasks 3# and 4# this week.
Feel free to ask us anything (:"
,,,,"Hey everyone! Just reminding you guys to share your tasks here on the Discord channel. Really looking forward to seeing your first tasks! 🥇 
Feel free to contact us with any questions."
Activation,🐔,Students aren’t sharing tasks in Discord. ,,"Hey everybody, to everyone who's already submitted a task and shared it with the group, great job! Well done for jumping in headfirst and leading the way. 🏊
To those who haven't yet, be inspired by your fellow ReShufflers and share your tasks!
The Helpers and us are here to answer any questions you might have (:"
Activation,,,,"Hey everyone! Just reminding you guys to share your tasks here on the Discord channel. Really looking forward to seeing your first tasks!
Feel free to contact us with any questions."
Activation,,Reminder to submit tasks ,,"Hey everyone, kudos to those who submitted tasks #1 and #2 and shared them! 🏆 
For those who haven't yet, it's not too late. ⏰ 
We’re waiting to see tasks 3# and 4# this week.
Feel free to ask us anything (:"
Activation,,,,"Hey everyone! Just reminding you guys to share your tasks here on the Discord channel. Really looking forward to seeing your first tasks! 🥇 
Feel free to contact us with any questions."
Activation,,Students get stuck in the registration process and do not respond,,"Hey everyone, ReShuffle's team would like to remind you that they're there for you if you have any questions about the quests or the registration. 
To register, go to @reshuffle.education on Instagram, enter the page’s DM (direct messaging) and type joinreshuffle (and make sure you don't have any typos).
To better understand the process, you’re welcome to watch this short video: https://youtu.be/AHrMP4KXDE4
Good luck and have fun! "
Activation,,Encourage students to contact a helper,,"Hey everyone!
Wishing you a happy holiday season and a relaxing break.
For those of you who need help with your task, you can contact (user name) for assistance. "
Support,,Students are having trouble registering,,"Thanks for reaching out, we’d be glad to help! It’s quite simple: Go to @reshuffle.education on Instagram, enter the page’s DM (direct messaging) and type joinreshuffle. You’ll get further instructions from there. Good luck and have fun! "
Support,,Students type the password wrong/get stuck ,,"Something's stuck! Type ""joinreshuffle"" again (and make sure you don't have any typos) to complete your registration."
Support,,Students stop registering mid-way.,,"We see you haven't finished registering yet, please give us a few more details so you can start your quest!"
Support,,Students ask why we haven’t accepted their follow request yet. ,,"We’re glad to see that you’re eager to start the quest! Each follow request from a student requires us to verify it, which might take some time. We promise we’ll approve your request as soon as we can so you can start ReShuffling. "
Private Messages,,Collect feedback from active users,,"Hi, this is Liza from ReShuffle's team. I saw the tasks you submitted in the (group name) group and I wanted to let you know you’re doing great!
I would love to hear what you think we can improve to make the quest even better since you are such an outstanding contributor. Feel free to share any thoughts and ideas you have :)"
Private Messages,,Offer students the rule of a helper,,"Hi @(user name) :wave:
Because you did such a great job so far, I wanted to offer you the role of **helper**.

What is a **helper**?
✅ A helper understands the quest well
✅ Knows how to use Discord
✅ Has a passion for helping people

➕ You will receive extra credit for your assistance

Is that something you would like to do?

*add a meme"
Private Messages,,When students agree to be helpers,,"Smart decision! That’s great news 🤩
I’m going to give you the **helper** role and let your quest-mates know they can reach out for help.
Thanks!"
Private Messages,,When students disagree to be helpers,,"All good, no worries :) Let me know if you change your mind. Happy weekend and holidays! ✨"
